"conference","gender","student","format","char_count","word_count","sent_count","sybl_count","notdalechall_count","polysyblword_count","flesch_score","fleschkincaid_score","gunningfog_score","smog_score","dalechall_score","Score.mean"
"E10","F","Non-Student","Paper",1.49488248341109,1.56582020544944,1.59665261679892,1.4993841190958,1.30452195285798,1.31899310314806,51.3820789685738,11.4264517861939,14.7982809562181,13.5591,9.85662382487241,0.684813753581662
"E9","F","Student","Abstract",-0.839012378782314,-0.812680482363781,-0.707807934503984,-0.822618598106855,-0.884551887454281,-0.792431449683583,46.3655616694352,11.4658118770764,15.0997508305648,13.9116721363226,9.81544717607973,0.303724928366762
"E8","M",NA,"Abstract",-0.669138056853287,-0.681730735655166,-0.814992146192491,-0.671064142773709,-0.653186359616401,-0.747666264817894,27.1920833333334,17.8510185185185,19.7222222222222,16.2186461151256,11.743462962963,0.789285714285714
"E8","M",NA,"Abstract",0.208154884711118,0.193366129368755,0.0960736531598205,0.147958121021477,0.26159734275799,-0.128414540842538,48.8183517786562,12.390814229249,14.8743083003953,13.306631327048,10.8802051383399,0.789285714285714
"E8","M",NA,"Paper",2.01436003693438,2.10850617498226,2.61490262783974,2.08440002180664,2.27625716977708,2.07254038172048,52.1047835749714,10.6426810650243,14.2188270561945,13.2682188226591,10.517208000218,0.539285714285714
"E10","F","Non-Student","Abstract",-0.56378782129233,-0.574704500364471,-0.547031616971223,-0.584685955796269,-0.517926512572716,-0.538762068778015,45.0698144712431,12.506159554731,16.3376623376623,14.7477131428685,11.2827987012987,0.143266475644699
"E9","F","Non-Student","Abstract",-0.578100436813975,-0.588554954343266,-0.57382766989335,-0.600391080701258,-0.528604921549849,-0.561144661210859,44.8616214335421,12.6685535341485,16.4724525300726,14.8234644547278,11.3607542598668,0.140401146131805
"E8","M",NA,"Abstract",-0.660925900406442,-0.682989867835056,-0.734603987426111,-0.660855811585466,-0.678102647229711,-0.598448981932266,31.0288547854786,15.6224158415842,18.9911551155115,16.5672149719743,11.1476903630363,0.639285714285714
"E8","M",NA,"Abstract",-0.672657552473364,-0.688026396554619,-0.788196093270364,-0.636512867982733,-0.674543177570667,-0.493996883912326,19.0942307692308,18.24,22.0076923076923,18.7339330531084,11.4391788461538,0.539285714285714
"E10","F","Non-Student","Abstract",-0.368338497857415,-0.321618932206473,-0.439847405282716,-0.361673182145422,-0.396904544165209,-0.382083921748105,46.4093507180229,13.3886034732272,17.1141266837359,14.9858939628267,10.3703883223867,1
"E8","F",NA,"Paper",0.743587485045424,0.835523541112926,1.03393550543426,0.601836230775664,0.293632569689389,-0.0388841711111607,64.9098738593666,9.14359098228664,11.8760831224599,11.1077785780511,8.84938896557012,0
"E8","F",NA,"Abstract",-0.398136894107396,-0.404721656079249,-0.466643458204842,-0.39386868820065,-0.371988256551899,-0.441770834902357,39.46736,13.96512,16.656,14.7808618925208,11.040916,1
"E10","F","Non-Student","Abstract",-0.620099751213555,-0.632624580639435,-0.707807934503984,-0.603532105682256,-0.60335378438978,-0.546222932922296,29.6660472972973,16.0153828828829,19.2081081081081,16.6780674422075,11.3786882882883,1
"E9","F","Student","Abstract",-0.797716963506749,-0.790016103125752,-0.627419775737603,-0.794349373277874,-0.774208328023907,-0.770048857250739,46.8488566243194,10.8958257713249,14.239300445471,13.2809165343631,10.9535525655832,0.481375358166189
"E10","F","Non-Student","Abstract",-0.677350213300132,-0.694322057454071,-0.814992146192491,-0.677346192735705,-0.670983707911622,-0.613370710220829,26.0706592827005,17.8004113924051,21.3691983122363,17.9712501980003,11.6651160337553,0.931232091690544
"E10","F","Non-Student","Abstract",-0.596167180997034,-0.557076649846003,-0.57382766989335,-0.620022486832495,-0.695899995524932,-0.702901079952206,54.7357142857143,11.5870634920635,15.0761904761905,13.4843320109209,9.62029285714286,0.684813753581662
"E8","M",NA,"Abstract",0.191026672693412,0.224844433866018,0.256849970692581,0.188791445774448,0.268716282076079,-0.0612667635440049,50.1926653846154,11.6331,14.1649572649573,12.9921018152534,10.6606524786325,0.4
"E10","F","Non-Student","Abstract",-0.508649056577798,-0.540707931507426,-0.413051352360589,-0.484958412649588,-0.464534467687051,-0.441770834902357,34.7269023569024,13.1725553406404,15.7056809227022,14.3410131086338,11.2443139121714,0.361031518624642
"E8","M",NA,"Paper",1.55330611070436,1.64262726842276,1.43587629926616,1.45933605058807,1.15146475751907,1.0205585373768,54.913907453169,11.4250562250111,14.7101306826596,13.2279040752358,9.51336828816822,0.789285714285714
"E9","F","Non-Student","Paper",0.699945739356476,0.669318093367376,0.578402605758103,0.774592604730545,0.934337108317367,0.960871624222548,38.1781996363329,13.6713662889039,17.1400710419486,15.3315313919399,11.3094804465494,0
"E10","F","Non-Student","Paper",1.21191503555694,1.02061597155683,0.578402605758103,1.17664380229827,1.48961437512828,1.33391483143662,32.1599472200484,15.593781925868,18.7672488616961,16.3349999243709,11.8911345902106,1
"E8","M",NA,"Abstract",-0.821180267640593,-0.788756970945861,-0.761400040348237,-0.816336548144859,-0.86675453915906,-0.874500955270678,48.539375,12.1674107142857,14.8928571428571,13.4843320109209,9.95130803571429,0.264285714285714
"E9","F","Student","Paper",0.72481684173835,0.591251898214163,1.40908024634403,0.67957659905536,0.717209459115663,0.580367552864196,47.3603951828725,10.3563859649123,12.7700148676777,12.2280578755511,10.5089225215581,0.830945558739255
"E10","F","Non-Student","Abstract",-0.739762602296156,-0.745946476829583,-0.681011881581857,-0.732314129903167,-0.703018934843021,-0.67305762337508,38.0075922233301,13.1311764705882,16.5779993353274,14.9671972984284,11.4046295446992,0.223495702005731
