"","E8","E9","E10","E11","E12"
"Female","12.85 (2.23)","12.72 (2.57)","13.45 (2.4)","13.53 (2.2)","13.21 (1.86)"
"Male","12.71 (2.88)","12.87 (2.46)","13.29 (2.43)","13.05 (2.32)","13.37 (2.8)"
